x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
0.71316,0.88366,-0.0,0.66082,0.82019,-0.03282,0.6278,0.71861,-0.0547,0.64171,0.62867,-0.07903,0.69384,0.58671,-0.10083,0.64751,0.56131,-0.0236,0.64426,0.41412,-0.06263,0.64619,0.32962,-0.08354,0.65051,0.25572,-0.09664,0.70007,0.5754,-0.03201,0.70554,0.46851,-0.09688,0.67941,0.55224,-0.10963,0.66516,0.6185,-0.09802,0.74816,0.60742,-0.04561,0.7383,0.57114,-0.10118,0.71012,0.65761,-0.08977,0.70337,0.70258,-0.06283,0.78966,0.65321,-0.06312,0.77594,0.62567,-0.08671,0.74811,0.68165,-0.07045,0.74155,0.71256,-0.04898
0.75702,0.79339,0.0,0.71377,0.71931,-0.05046,0.69723,0.61843,-0.07066,0.72928,0.53117,-0.08801,0.76964,0.47933,-0.10188,0.67555,0.48913,-0.02138,0.66202,0.35998,-0.04903,0.65926,0.28221,-0.06595,0.65797,0.21762,-0.07657,0.72737,0.50366,-0.0149,0.74412,0.40195,-0.06477,0.73587,0.46227,-0.08058,0.72492,0.52216,-0.07429,0.7741,0.53533,-0.01492,0.78204,0.49116,-0.06212,0.76881,0.55648,-0.06275,0.75996,0.59829,-0.04583,0.81093,0.57931,-0.01965,0.81622,0.53808,-0.04368,0.80241,0.5818,-0.03646,0.79367,0.61415,-0.02174
0.74669,0.80305,0.0,0.70665,0.73144,-0.05203,0.69142,0.63326,-0.07684,0.72087,0.54618,-0.09883,0.7665,0.49665,-0.11747,0.66987,0.49535,-0.02952,0.66118,0.36077,-0.06221,0.65987,0.28207,-0.08262,0.65898,0.2159,-0.09628,0.72345,0.51026,-0.02411,0.74006,0.4102,-0.07834,0.73084,0.47844,-0.09405,0.71768,0.53498,-0.08837,0.77113,0.54359,-0.02517,0.77866,0.49936,-0.07483,0.7615,0.56975,-0.0718,0.74853,0.61171,-0.05315,0.80781,0.59097,-0.03122,0.8121,0.55316,-0.05691,0.79361,0.6005,-0.04789,0.78021,0.63373,-0.03228
0.65658,0.80828,-0.0,0.60085,0.76257,-0.02616,0.56101,0.65088,-0.03893,0.57488,0.54723,-0.05428,0.6262,0.49894,-0.06839,0.58963,0.53337,-0.01681,0.58509,0.39375,-0.049,0.58867,0.31371,-0.06645,0.59587,0.24448,-0.0787,0.63624,0.54371,-0.02162,0.63276,0.50249,-0.07665,0.61775,0.59436,-0.08324,0.61566,0.6407,-0.07342,0.67752,0.56551,-0.03131,0.67264,0.53705,-0.08239,0.65124,0.62829,-0.06574,0.6487,0.66706,-0.04018,0.71656,0.59833,-0.0442,0.70547,0.58179,-0.07374,0.68396,0.64634,-0.06016,0.68217,0.67323,-0.04123
0.68122,0.79981,-0.0,0.63002,0.74823,-0.03158,0.59438,0.63998,-0.04905,0.61391,0.54172,-0.06842,0.66018,0.49139,-0.08553,0.61255,0.51422,-0.02185,0.60655,0.37786,-0.05788,0.60721,0.29933,-0.0763,0.61287,0.23119,-0.08838,0.65958,0.52915,-0.02672,0.66386,0.47182,-0.08326,0.64751,0.56665,-0.08813,0.6437,0.60945,-0.07604,0.70169,0.55574,-0.03745,0.70385,0.52097,-0.08894,0.6809,0.61181,-0.06976,0.67639,0.64261,-0.04224,0.73993,0.59342,-0.0522,0.73739,0.56944,-0.07994,0.71344,0.63331,-0.06335,0.70747,0.65669,-0.04267
0.74161,0.79017,-0.0,0.69172,0.72925,-0.03494,0.66347,0.61719,-0.05133,0.68796,0.52246,-0.06845,0.73621,0.48904,-0.08321,0.67408,0.49928,-0.0215,0.66876,0.36248,-0.05321,0.67198,0.28603,-0.07189,0.67762,0.21786,-0.0849,0.7206,0.51577,-0.02335,0.73726,0.45043,-0.07703,0.72284,0.53672,-0.08661,0.71155,0.58959,-0.07797,0.76248,0.5444,-0.03053,0.77282,0.50588,-0.0773,0.75186,0.58616,-0.06531,0.74141,0.62489,-0.04296,0.79905,0.58422,-0.04182,0.80436,0.54972,-0.0654,0.78273,0.6043,-0.05154,0.7729,0.6349,-0.03339
0.74991,0.78218,-0.0,0.70271,0.7116,-0.03568,0.67877,0.6042,-0.05291,0.70258,0.50814,-0.06961,0.75239,0.47573,-0.08403,0.68502,0.49445,-0.02553,0.68243,0.35503,-0.06132,0.6881,0.27523,-0.08481,0.69569,0.20568,-0.10092,0.73381,0.50919,-0.02544,0.75041,0.44851,-0.07813,0.73649,0.54,-0.08661,0.72391,0.5918,-0.07825,0.77755,0.53664,-0.03083,0.79094,0.49681,-0.07617,0.76903,0.57967,-0.06152,0.75647,0.62091,-0.03784,0.81343,0.57842,-0.04048,0.81958,0.54608,-0.06325,0.79693,0.59983,-0.04773,0.78624,0.63159,-0.0283
0.71508,0.77433,-0.0,0.66681,0.71799,-0.03019,0.63932,0.60581,-0.04569,0.66379,0.51125,-0.06282,0.7134,0.46689,-0.07822,0.65728,0.4887,-0.02129,0.65513,0.35106,-0.05772,0.65917,0.27171,-0.07907,0.66733,0.2021,-0.09365,0.70433,0.50694,-0.02618,0.71472,0.4433,-0.08379,0.6955,0.53559,-0.09182,0.68713,0.58454,-0.08185,0.74671,0.53774,-0.03639,0.7537,0.49452,-0.08769,0.72699,0.58329,-0.07012,0.71842,0.61958,-0.04338,0.78345,0.58007,-0.05035,0.7847,0.54553,-0.07818,0.75818,0.60611,-0.06166,0.74969,0.63306,-0.04089
0.72863,0.7773,-0.0,0.68088,0.71733,-0.03066,0.65208,0.59987,-0.04512,0.6807,0.50454,-0.06096,0.7326,0.47229,-0.07519,0.67236,0.48845,-0.02207,0.66895,0.35386,-0.05735,0.67141,0.27605,-0.07799,0.67766,0.2064,-0.0926,0.71878,0.5087,-0.02722,0.73095,0.43637,-0.0822,0.71147,0.52869,-0.08905,0.70316,0.57659,-0.0785,0.76006,0.54123,-0.03769,0.76753,0.49626,-0.08687,0.74065,0.58365,-0.06992,0.73382,0.61739,-0.04405,0.7965,0.58482,-0.05207,0.79797,0.54796,-0.07807,0.77131,0.60754,-0.0615,0.76409,0.63553,-0.0414
0.79867,0.83397,-0.0,0.75738,0.74324,-0.05686,0.74105,0.63607,-0.07789,0.77436,0.54535,-0.09346,0.82502,0.49745,-0.10413,0.73348,0.49536,-0.0339,0.73394,0.34711,-0.07055,0.739,0.26363,-0.09489,0.74648,0.19099,-0.11107,0.79042,0.51989,-0.02451,0.81804,0.45953,-0.0776,0.79968,0.55194,-0.08817,0.78295,0.6032,-0.08101,0.83946,0.55505,-0.0235,0.86197,0.51791,-0.072,0.83612,0.60387,-0.06314,0.81526,0.64278,-0.04252,0.87635,0.60407,-0.0287,0.89133,0.57305,-0.05503,0.86732,0.62713,-0.0436,0.84721,0.65843,-0.02624
