x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
0.68718,0.81179,0.0,0.63156,0.75336,-0.03017,0.61083,0.63696,-0.04098,0.64454,0.543,-0.05309,0.68331,0.47666,-0.06347,0.59554,0.53545,-0.01129,0.56849,0.41461,-0.03353,0.5521,0.34044,-0.04673,0.5397,0.27916,-0.05347,0.64363,0.52511,-0.01515,0.63871,0.38372,-0.03966,0.63309,0.29978,-0.05654,0.63263,0.22937,-0.0635,0.68793,0.54495,-0.02402,0.69478,0.47966,-0.06558,0.68028,0.54978,-0.07361,0.67424,0.60217,-0.06501,0.72607,0.58191,-0.03494,0.72222,0.5247,-0.06379,0.70954,0.57732,-0.05932,0.70663,0.62428,-0.04795
0.40467,0.7832,0.0,0.32861,0.75241,-0.02355,0.27618,0.65013,-0.03937,0.2853,0.55014,-0.05903,0.32673,0.48233,-0.07677,0.29763,0.51171,-0.02016,0.26823,0.38234,-0.04878,0.25462,0.30567,-0.06317,0.2482,0.2419,-0.07057,0.34723,0.49926,-0.03118,0.33338,0.34159,-0.06561,0.32355,0.24792,-0.08422,0.32188,0.17288,-0.09049,0.39521,0.51643,-0.04535,0.36028,0.45456,-0.0943,0.33675,0.54239,-0.09585,0.33207,0.60861,-0.08089,0.43688,0.55173,-0.0611,0.39078,0.52545,-0.09624,0.36716,0.59553,-0.09002,0.36104,0.64951,-0.07541
0.19877,0.71804,0.0,0.25168,0.67498,-0.03904,0.2708,0.5831,-0.05243,0.23201,0.50746,-0.06466,0.189,0.45357,-0.07331,0.27476,0.45926,-0.01703,0.29136,0.35252,-0.0406,0.29778,0.28555,-0.05524,0.29915,0.2299,-0.06398,0.22702,0.45869,-0.0176,0.20832,0.33683,-0.04875,0.20188,0.26411,-0.06779,0.19645,0.20548,-0.07504,0.18615,0.48737,-0.02352,0.18284,0.44016,-0.07466,0.20473,0.50702,-0.08478,0.21532,0.55353,-0.07536,0.15237,0.52919,-0.03196,0.16202,0.50076,-0.07455,0.18393,0.55122,-0.07771,0.19633,0.58881,-0.06875
0.11888,0.66089,0.0,0.16078,0.6025,-0.04292,0.16673,0.49954,-0.05453,0.12176,0.4249,-0.06354,0.07078,0.3759,-0.06918,0.16967,0.38159,-0.01095,0.17527,0.27548,-0.03253,0.17599,0.21167,-0.04688,0.17365,0.15899,-0.05535,0.12078,0.38643,-0.00747,0.08783,0.26934,-0.03676,0.0705,0.20296,-0.0555,0.05622,0.15054,-0.06177,0.08205,0.42055,-0.01038,0.05821,0.37008,-0.06273,0.08017,0.43528,-0.0758,0.09471,0.4817,-0.06704,0.05374,0.46557,-0.01575,0.04464,0.42802,-0.06118,0.06389,0.47673,-0.06642,0.07745,0.51433,-0.05789
0.25344,0.83621,0.0,0.31349,0.81467,-0.03967,0.3562,0.75413,-0.05858,0.33506,0.69406,-0.07648,0.29802,0.64952,-0.09168,0.35449,0.61526,-0.0343,0.37873,0.50501,-0.06174,0.39548,0.44172,-0.0765,0.40604,0.38825,-0.08342,0.30682,0.60748,-0.03536,0.29915,0.48503,-0.07038,0.29187,0.41582,-0.08932,0.28186,0.36341,-0.09422,0.2644,0.62711,-0.04061,0.27914,0.60884,-0.08982,0.29511,0.67386,-0.0994,0.29981,0.71645,-0.08886,0.22881,0.66035,-0.0485,0.25273,0.64766,-0.08101,0.27341,0.69163,-0.07931,0.28308,0.72475,-0.06772
0.06817,0.46193,0.0,0.12119,0.48712,-0.04877,0.19592,0.45995,-0.06031,0.24007,0.38041,-0.06907,0.27013,0.30177,-0.07421,0.30463,0.44885,-0.00181,0.38929,0.44792,-0.02064,0.44307,0.44549,-0.0354,0.4854,0.43885,-0.04381,0.28847,0.38373,0.00425,0.38163,0.33458,-0.02093,0.43527,0.30989,-0.04054,0.47844,0.28817,-0.04706,0.24891,0.33681,0.00225,0.28159,0.29788,-0.05138,0.23759,0.33802,-0.07141,0.20603,0.3642,-0.06539,0.20238,0.30801,-0.00231,0.23617,0.28551,-0.04827,0.20165,0.32236,-0.05524,0.17229,0.34944,-0.04726
0.04735,0.9546,0.0,0.12123,1.02824,-0.03629,0.20527,1.05119,-0.05947,0.26439,1.02061,-0.08632,0.29993,0.95369,-0.10956,0.33298,0.96282,-0.03261,0.44701,0.95807,-0.07391,0.51678,0.95191,-0.09851,0.57576,0.94255,-0.11027,0.31826,0.88283,-0.04345,0.43419,0.85032,-0.09058,0.51099,0.83261,-0.11659,0.56855,0.81905,-0.12417,0.27921,0.81969,-0.05918,0.31751,0.87358,-0.1247,0.26658,0.95149,-0.13663,0.22226,0.99875,-0.12197,0.22398,0.78184,-0.07782,0.24244,0.85375,-0.12516,0.21527,0.93459,-0.12637,0.18488,0.99124,-0.11148
0.6608,0.79255,0.0,0.60174,0.72772,-0.01934,0.57986,0.61346,-0.02673,0.61648,0.5273,-0.03841,0.66301,0.48025,-0.04967,0.58292,0.52398,-0.00565,0.56354,0.40337,-0.0268,0.55121,0.33087,-0.03978,0.5423,0.26951,-0.04676,0.62804,0.51875,-0.01415,0.62889,0.38113,-0.03812,0.6264,0.29468,-0.05413,0.62994,0.22235,-0.06074,0.66942,0.54071,-0.02634,0.669,0.47829,-0.06464,0.64969,0.54794,-0.06929,0.64297,0.60381,-0.05874,0.70397,0.57849,-0.04003,0.6983,0.51466,-0.06542,0.68064,0.56595,-0.05781,0.67332,0.61657,-0.04459
0.60211,0.71735,0.0,0.54329,0.66921,-0.01356,0.5082,0.57793,-0.01893,0.52141,0.4869,-0.02962,0.55339,0.43141,-0.03935,0.5099,0.50469,0.00382,0.47828,0.40283,-0.01443,0.46016,0.34265,-0.02529,0.44833,0.2905,-0.03092,0.54741,0.48741,-0.0054,0.5268,0.36057,-0.02798,0.51234,0.28499,-0.04245,0.50816,0.22187,-0.04762,0.5868,0.49266,-0.01798,0.57163,0.43022,-0.05207,0.56159,0.49789,-0.0524,0.56473,0.55169,-0.03934,0.6244,0.50969,-0.03189,0.60321,0.44885,-0.05226,0.59269,0.49655,-0.04245,0.59458,0.54255,-0.02815
0.59755,1.04487,0.0,0.5423,1.01535,-0.02975,0.49363,0.92748,-0.04618,0.5156,0.84407,-0.06499,0.56082,0.78994,-0.08263,0.49506,0.7731,-0.02981,0.46493,0.64594,-0.06156,0.44929,0.56817,-0.07698,0.4378,0.5012,-0.08415,0.54945,0.76091,-0.03794,0.53983,0.6158,-0.07367,0.5319,0.52384,-0.09255,0.52816,0.45067,-0.09777,0.60164,0.78027,-0.04955,0.57992,0.75495,-0.10368,0.56498,0.84677,-0.11169,0.56326,0.91378,-0.0987,0.64545,0.81915,-0.06281,0.61645,0.82261,-0.10463,0.59708,0.90154,-0.10289,0.59291,0.96285,-0.08931
