x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
0.69272,0.87069,0.0,0.64494,0.8228,-0.04031,0.62961,0.71067,-0.04596,0.6734,0.63215,-0.04562,0.72196,0.58866,-0.0462,0.60126,0.54803,-0.01307,0.57397,0.42373,-0.02404,0.56117,0.34372,-0.03504,0.54758,0.27397,-0.04513,0.652,0.53247,-0.01416,0.65208,0.39036,-0.01921,0.65566,0.2977,-0.0315,0.65454,0.218,-0.04041,0.69483,0.55282,-0.02224,0.70888,0.43776,-0.0497,0.71229,0.34569,-0.0862,0.71456,0.25989,-0.11159,0.73268,0.60147,-0.03318,0.73419,0.58254,-0.07657,0.72298,0.64982,-0.09498,0.71719,0.7134,-0.10448
0.52727,0.7784,0.0,0.47231,0.7245,-0.02309,0.44886,0.60925,-0.02513,0.481,0.52661,-0.02528,0.52767,0.47548,-0.02754,0.44641,0.45849,-0.0016,0.42597,0.33598,-0.01094,0.42096,0.25669,-0.02053,0.41385,0.18878,-0.03084,0.49887,0.4573,-0.01144,0.50985,0.32028,-0.02348,0.51846,0.23852,-0.03804,0.52299,0.16327,-0.04775,0.54275,0.4865,-0.02627,0.55413,0.35972,-0.06004,0.54934,0.2685,-0.09077,0.54832,0.17883,-0.11088,0.58086,0.5435,-0.04157,0.56688,0.48975,-0.0838,0.54296,0.54606,-0.09413,0.53041,0.60315,-0.0984
0.8414,0.83788,0.0,0.82198,0.77765,-0.08276,0.84654,0.66614,-0.09507,0.92088,0.59025,-0.09051,0.97734,0.54238,-0.08291,0.79872,0.46536,-0.03374,0.78223,0.31982,-0.04248,0.77772,0.22883,-0.05562,0.77246,0.14984,-0.06696,0.85455,0.46442,-0.0108,0.86275,0.30731,-0.01148,0.87335,0.20893,-0.02851,0.87778,0.12625,-0.04174,0.89817,0.49893,0.00126,0.93565,0.37089,-0.02695,0.96047,0.27508,-0.0756,0.97542,0.18203,-0.10926,0.93229,0.56144,0.00756,0.97213,0.51773,-0.03628,0.98091,0.57426,-0.06127,0.98599,0.63453,-0.07572
0.94994,0.76428,0.0,0.94309,0.72825,-0.12388,0.94868,0.66012,-0.16977,0.98606,0.6245,-0.19441,1.01853,0.61251,-0.21322,0.90904,0.44818,-0.09589,0.88602,0.31096,-0.1169,0.87226,0.21582,-0.13065,0.86129,0.14981,-0.13822,0.95109,0.44295,-0.04741,0.95529,0.29828,-0.05883,0.96009,0.21179,-0.07092,0.96318,0.14566,-0.07758,0.98889,0.46618,-0.01096,1.0283,0.3787,-0.03696,1.04747,0.37466,-0.06493,1.05263,0.36807,-0.07712,1.01856,0.49887,0.01588,1.05501,0.4464,-0.00599,1.06834,0.45363,-0.0228,1.07124,0.46433,-0.0308
0.4957,0.62937,0.0,0.46784,0.5442,-0.02431,0.48489,0.43194,-0.03095,0.53915,0.40445,-0.0362,0.59432,0.41686,-0.04387,0.57898,0.32099,-0.01863,0.62519,0.21523,-0.0337,0.66642,0.15253,-0.04534,0.70063,0.10087,-0.0568,0.6232,0.36562,-0.03003,0.70186,0.27699,-0.04332,0.75399,0.22254,-0.05897,0.79899,0.17546,-0.07057,0.64053,0.42754,-0.04584,0.68774,0.35286,-0.07561,0.72082,0.27629,-0.10949,0.75837,0.21199,-0.13432,0.63611,0.49837,-0.06276,0.61166,0.46199,-0.10411,0.56557,0.46766,-0.12383,0.53322,0.48278,-0.1364
0.64605,0.99948,0.0,0.59892,0.96425,-0.04173,0.57691,0.88481,-0.05667,0.61449,0.82373,-0.06647,0.66645,0.78307,-0.07747,0.56252,0.70096,-0.02851,0.53608,0.57583,-0.04717,0.52483,0.49676,-0.06105,0.51331,0.42785,-0.0727,0.61204,0.68452,-0.03126,0.60351,0.54646,-0.04551,0.60037,0.45352,-0.06254,0.59624,0.37473,-0.0747,0.6547,0.70762,-0.0398,0.66614,0.61481,-0.07128,0.66751,0.53072,-0.10718,0.67078,0.45625,-0.13213,0.6918,0.75798,-0.05109,0.68509,0.76082,-0.0944,0.6709,0.82117,-0.1134,0.6652,0.87703,-0.12389
0.6975,0.91864,0.0,0.65301,0.87427,-0.05203,0.64224,0.78167,-0.06529,0.69039,0.71488,-0.07058,0.73846,0.66673,-0.07589,0.60472,0.58273,-0.02598,0.57239,0.45384,-0.04176,0.55641,0.37235,-0.05582,0.54151,0.30134,-0.06782,0.65768,0.5662,-0.02465,0.64773,0.41574,-0.03436,0.6449,0.31594,-0.05129,0.6394,0.2333,-0.06361,0.70271,0.59319,-0.03114,0.71904,0.47727,-0.06292,0.72482,0.38226,-0.1039,0.72761,0.29443,-0.13236,0.74148,0.65251,-0.0411,0.74749,0.63455,-0.08722,0.73698,0.69862,-0.10812,0.72941,0.75959,-0.11942
0.35452,0.81321,0.0,0.29465,0.7826,-0.01811,0.24234,0.6965,-0.02427,0.23379,0.62515,-0.0292,0.27075,0.58834,-0.03672,0.2668,0.57134,-0.01626,0.25108,0.47313,-0.02969,0.24643,0.4044,-0.03963,0.24496,0.346,-0.04896,0.30894,0.56312,-0.0261,0.29717,0.44968,-0.0421,0.29324,0.36993,-0.05667,0.29085,0.30351,-0.06618,0.34668,0.57488,-0.03898,0.32014,0.48431,-0.07228,0.29862,0.4089,-0.10218,0.28679,0.34462,-0.1213,0.37627,0.60459,-0.05187,0.32148,0.58923,-0.09358,0.29006,0.63838,-0.11219,0.27439,0.6864,-0.1225
0.55075,0.72797,0.0,0.56846,0.62019,0.0216,0.54424,0.53543,0.02088,0.50209,0.50561,0.0182,0.4581,0.49791,0.0118,0.55801,0.49498,-0.02421,0.54356,0.35304,-0.03846,0.54001,0.27754,-0.04304,0.5364,0.21747,-0.04299,0.51541,0.51831,-0.04229,0.48464,0.36059,-0.0597,0.47044,0.27333,-0.06588,0.456,0.20206,-0.06589,0.47155,0.54755,-0.05528,0.43099,0.42237,-0.07223,0.41368,0.34513,-0.08275,0.39558,0.28087,-0.0874,0.43895,0.58509,-0.06371,0.44251,0.50502,-0.06823,0.46258,0.52601,-0.0562,0.47578,0.55421,-0.04591
0.26826,0.80315,0.0,0.29639,0.65013,0.00797,0.25908,0.54326,-0.00029,0.20449,0.48188,-0.00247,0.1534,0.45724,-0.00755,0.21105,0.50346,-0.08569,0.16591,0.31736,-0.10917,0.13728,0.21379,-0.1156,0.11134,0.13734,-0.1133,0.14447,0.54411,-0.08355,0.08051,0.34614,-0.10409,0.03899,0.23075,-0.10569,0.00182,0.15163,-0.10197,0.09728,0.59131,-0.07058,0.04775,0.42668,-0.07566,0.01406,0.31855,-0.08277,-0.01578,0.24517,-0.08785,0.07351,0.6394,-0.0531,0.09421,0.53709,-0.0386,0.12533,0.53072,-0.02164,0.15347,0.54855,-0.00957
