x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20
0.72832,0.74166,0.0,0.66449,0.67003,-0.03228,0.6379,0.54406,-0.04185,0.67847,0.44318,-0.05004,0.73326,0.42364,-0.0566,0.62634,0.42857,0.00183,0.59968,0.31203,-0.00879,0.58609,0.24375,-0.02416,0.57697,0.18347,-0.03835,0.6762,0.40808,0.00175,0.65986,0.28029,-0.00334,0.65263,0.20222,-0.0175,0.64631,0.13479,-0.02999,0.72565,0.41741,-0.00472,0.71472,0.30002,-0.01065,0.70553,0.22824,-0.0239,0.69578,0.16876,-0.03577,0.77551,0.44357,-0.01622,0.77184,0.35453,-0.01946,0.76586,0.29755,-0.02245,0.76068,0.24785,-0.02712
0.86116,0.96378,0.0,0.793,0.88267,-0.04555,0.77205,0.73938,-0.06326,0.8535,0.63789,-0.07735,0.9368,0.61414,-0.09056,0.75002,0.56713,-0.02686,0.71597,0.40913,-0.04799,0.69717,0.31342,-0.06973,0.68189,0.23048,-0.08966,0.82119,0.54397,-0.02935,0.79919,0.37011,-0.0448,0.78469,0.26092,-0.06881,0.77042,0.16783,-0.08903,0.8905,0.56467,-0.03805,0.88412,0.4024,-0.05731,0.87389,0.30122,-0.08314,0.8609,0.21045,-0.10372,0.9594,0.61233,-0.05196,0.97565,0.49566,-0.07149,0.98066,0.41606,-0.08371,0.98371,0.34469,-0.09398
0.56447,0.79804,0.0,0.51967,0.70102,-0.03258,0.53224,0.56825,-0.04362,0.60656,0.49972,-0.05233,0.66754,0.51103,-0.06094,0.59045,0.43416,-0.01444,0.61651,0.3048,-0.02642,0.63666,0.23194,-0.04045,0.65706,0.17256,-0.05424,0.64803,0.4544,-0.01726,0.69556,0.32036,-0.02451,0.72692,0.24482,-0.0392,0.75352,0.18227,-0.05306,0.68789,0.50301,-0.02554,0.74593,0.39021,-0.03817,0.78056,0.32186,-0.05892,0.81001,0.26209,-0.07682,0.71593,0.56966,-0.03763,0.77028,0.50327,-0.05214,0.80705,0.46094,-0.06349,0.8406,0.42233,-0.07415
0.77548,0.85466,0.0,0.71265,0.78662,-0.03616,0.67832,0.66422,-0.04702,0.72981,0.55819,-0.05619,0.79292,0.51833,-0.06362,0.64568,0.5169,-0.01256,0.58868,0.39631,-0.02516,0.55573,0.31953,-0.03775,0.52985,0.25701,-0.04993,0.70578,0.48741,-0.01371,0.67763,0.34071,-0.01951,0.66336,0.25264,-0.03152,0.65163,0.18068,-0.04162,0.76724,0.49848,-0.02121,0.7662,0.36369,-0.03771,0.76464,0.27512,-0.06222,0.76225,0.20217,-0.08015,0.82748,0.53423,-0.03275,0.87048,0.44363,-0.05608,0.89843,0.37718,-0.07353,0.92327,0.32269,-0.08526
0.79247,0.93435,0.0,0.71385,0.86511,-0.03944,0.66933,0.72372,-0.05179,0.73277,0.60491,-0.06299,0.80912,0.5605,-0.07303,0.62739,0.54312,-0.01825,0.5566,0.40304,-0.03532,0.51603,0.31337,-0.0513,0.48277,0.24131,-0.06622,0.70113,0.5039,-0.02274,0.66317,0.33252,-0.03066,0.64514,0.23005,-0.0438,0.63168,0.15134,-0.05513,0.77659,0.51537,-0.03443,0.77286,0.35165,-0.05506,0.76785,0.25046,-0.08215,0.76235,0.16767,-0.10192,0.84962,0.56019,-0.05053,0.90045,0.44824,-0.08028,0.93431,0.37225,-0.09982,0.96492,0.30937,-0.11237
0.76291,0.86624,0.0,0.69381,0.80078,-0.02922,0.65599,0.68003,-0.03991,0.70184,0.57679,-0.05032,0.7665,0.54039,-0.05996,0.63754,0.52224,-0.006,0.58856,0.39902,-0.0204,0.56,0.32423,-0.03638,0.53748,0.26056,-0.05109,0.69476,0.49433,-0.01201,0.66657,0.34705,-0.02118,0.6491,0.25908,-0.03647,0.63394,0.18835,-0.04917,0.75423,0.5038,-0.02372,0.7408,0.36547,-0.03721,0.72923,0.28173,-0.0551,0.71705,0.2099,-0.06931,0.81376,0.53704,-0.0396,0.8274,0.43508,-0.0528,0.83289,0.36571,-0.06053,0.83738,0.30312,-0.06742
0.87753,0.99408,0.0,0.80425,0.91513,-0.04634,0.77222,0.76444,-0.06686,0.85474,0.65041,-0.08412,0.94598,0.62114,-0.10262,0.7537,0.57588,-0.04012,0.71497,0.4009,-0.06671,0.69445,0.29102,-0.0914,0.67808,0.19574,-0.11319,0.83109,0.55089,-0.0463,0.81728,0.35022,-0.0671,0.81002,0.22258,-0.09565,0.80242,0.11437,-0.11926,0.90304,0.57368,-0.05817,0.90707,0.39007,-0.08443,0.90337,0.26971,-0.11878,0.89709,0.16599,-0.14474,0.97101,0.62685,-0.07445,0.99304,0.48893,-0.10047,1.0021,0.39737,-0.11801,1.00768,0.31771,-0.13223
0.68944,0.79712,0.0,0.62086,0.72692,-0.03229,0.58595,0.59418,-0.04429,0.63416,0.48867,-0.05511,0.70105,0.46419,-0.06545,0.59173,0.44166,-0.01196,0.56152,0.30864,-0.02775,0.54601,0.22834,-0.04454,0.5361,0.15861,-0.05955,0.65068,0.42263,-0.0159,0.64091,0.27057,-0.02554,0.63591,0.18006,-0.04048,0.63241,0.10352,-0.05311,0.70682,0.43834,-0.02545,0.7047,0.3008,-0.03634,0.70121,0.21633,-0.05121,0.69715,0.14361,-0.06406,0.76013,0.47689,-0.03969,0.77088,0.3756,-0.04839,0.7763,0.30807,-0.05287,0.78191,0.24829,-0.05822
0.78776,0.75847,0.0,0.73519,0.68598,-0.03559,0.72105,0.56864,-0.04839,0.77343,0.48294,-0.05883,0.83409,0.47467,-0.06785,0.71966,0.44728,-0.00979,0.69838,0.3311,-0.0226,0.68713,0.26306,-0.03805,0.67993,0.20443,-0.05181,0.76993,0.43574,-0.00853,0.76524,0.30688,-0.01515,0.76364,0.23002,-0.02922,0.76173,0.16476,-0.0415,0.81638,0.45286,-0.01308,0.82026,0.3389,-0.02057,0.81763,0.26794,-0.03457,0.81297,0.20858,-0.04658,0.86164,0.48758,-0.02255,0.87439,0.40347,-0.02724,0.87884,0.34699,-0.03092,0.88237,0.29789,-0.03575
0.80122,0.90465,0.0,0.74912,0.83296,-0.04196,0.73589,0.71719,-0.05857,0.80197,0.62598,-0.07207,0.87223,0.60384,-0.08304,0.71123,0.54866,-0.01416,0.67387,0.4146,-0.03004,0.65198,0.33545,-0.04819,0.63387,0.26674,-0.06402,0.76926,0.52784,-0.01276,0.7501,0.38007,-0.02102,0.7342,0.29222,-0.03671,0.71692,0.22019,-0.05018,0.8263,0.54372,-0.0178,0.82221,0.4079,-0.02641,0.8129,0.3282,-0.04089,0.79941,0.26027,-0.05335,0.88217,0.58089,-0.02874,0.89691,0.48317,-0.03465,0.90119,0.41798,-0.03822,0.90448,0.36158,-0.04253
